target,package,emulator,cpu,result
armv5,selection,qemu-arm-static,arm926,PASS
armv5,config,qemu-arm-static,arm926,PASS
armv5,release,qemu-arm-static,arm926,PASS
armv6,selection,qemu-arm-static,arm1176,PASS
armv6,config,qemu-arm-static,arm1176,PASS
armv6,release,qemu-arm-static,arm1176,PASS
armv7,selection,qemu-arm-static,cortex-a9,PASS
armv7,config,qemu-arm-static,cortex-a9,PASS
armv7,release,qemu-arm-static,cortex-a9,PASS
mips-softfloat,selection,qemu-mips-static,24Kc,PASS
mips-softfloat,config,qemu-mips-static,24Kc,PASS
mips-softfloat,release,qemu-mips-static,24Kc,PASS
mipsle-softfloat,selection,qemu-mipsel-static,24Kc,PASS
mipsle-softfloat,config,qemu-mipsel-static,24Kc,PASS
mipsle-softfloat,release,qemu-mipsel-static,24Kc,PASS
mips64-softfloat,selection,qemu-mips64-static,5Kc,FAIL
mips64-softfloat,config,qemu-mips64-static,5Kc,FAIL
mips64-softfloat,release,qemu-mips64-static,5Kc,FAIL
mips64le-softfloat,selection,qemu-mips64el-static,5Kc,FAIL
mips64le-softfloat,config,qemu-mips64el-static,5Kc,FAIL
mips64le-softfloat,release,qemu-mips64el-static,5Kc,FAIL
386,selection,qemu-i386-static,qemu32,FAIL
386,config,qemu-i386-static,qemu32,FAIL
386,release,qemu-i386-static,qemu32,FAIL
riscv64,selection,qemu-riscv64-static,rv64,PASS
riscv64,config,qemu-riscv64-static,rv64,PASS
riscv64,release,qemu-riscv64-static,rv64,PASS
